# Step	AvgQ	AvgP
771	-0.0765906	-0.0618221
772	-0.0776724	0.0262726
773	-0.0747531	-0.0538456
774	-0.0747531	0.0208699
775	-0.0747531	-0.0321903
776	-0.0752248	0.0139371
777	-0.0775068	0.0502428
778	-0.077057	-0.00436611
779	-0.077057	-0.0983428
780	-0.077057	-0.0620714
781	-0.077057	-0.0163278
782	-0.077057	-0.0161507
783	-0.076805	-0.000430025
784	-0.0796413	0.0614474
785	-0.0796413	-0.00137729
786	-0.0814947	0.0419186
787	-0.0846232	0.0675825
788	-0.0821567	-0.0443543
789	-0.0821567	0.0399886
790	-0.0821567	-0.0116845
791	-0.0821567	0.0172905
792	-0.0821567	0.0615041
793	-0.0821567	-0.00538845
794	-0.0843947	0.0497758
795	-0.0843947	0.144361
796	-0.0843947	0.0204863
797	-0.0843947	0.152829
798	-0.0813908	-0.0551374
799	-0.0830132	0.0373957
800	-0.0826485	-0.00233
801	-0.0809116	-0.0298524
802	-0.074529	-0.123056
803	-0.0743091	6.34477e-05
804	-0.0758689	0.0357153
805	-0.0758689	-0.0591346
806	-0.0770428	0.0280733
807	-0.0802514	0.0689225
808	-0.0802514	0.00503786
809	-0.07761	-0.0481225
810	-0.07761	0.0267791
811	-0.0785285	0.0230626
812	-0.0785285	-0.0315603
813	-0.0785285	0.0411903
814	-0.0755008	-0.0559665
815	-0.0755008	-0.0568504
816	-0.0755008	-0.0874188
817	-0.0807904	0.110532
818	-0.0799982	-0.0110314
819	-0.0799982	0.00855342
820	-0.0799982	0.0449232
821	-0.0799982	-0.0587398
822	-0.0799982	0.00842528
823	-0.0799982	0.0120698
824	-0.0799982	-0.0466403
825	-0.0799982	-0.142394
826	-0.0799982	-0.0811809
827	-0.0826015	0.0569673
828	-0.0826015	-0.0186099
829	-0.0826015	0.0712099
830	-0.0826015	0.0145206
831	-0.0826015	-0.00169824
832	-0.0826015	-0.0178555
833	-0.0903777	0.160791
834	-0.0903777	-0.0490709
835	-0.0903777	-0.0486749
836	-0.0903777	0.0477357
837	-0.093971	0.0774296
838	-0.0935743	-0.00231367
839	-0.092863	-0.0086432
840	-0.0994851	0.138277
841	-0.101142	0.0391732
842	-0.101142	-0.0161865
843	-0.101142	-0.110638
844	-0.10397	0.0627307
845	-0.10397	-0.0714369
846	-0.106027	0.0474655
847	-0.106571	0.017269
848	-0.106571	-0.0521556
849	-0.106737	0.00970717
850	-0.108064	0.0330025
851	-0.108064	0.00460934
852	-0.109914	0.04354
853	-0.108948	-0.0127638
854	-0.108948	-0.175745
855	-0.108948	-0.00440679
856	-0.108948	0.0322936
857	-0.113744	0.102657
858	-0.115256	0.0371116
859	-0.115256	-0.049099
860	-0.113625	-0.0257712
861	-0.113625	0.0573597
862	-0.113625	-0.056737
863	-0.113625	-0.000370302
864	-0.113625	-0.275766
865	-0.113625	-0.0202819
866	-0.113625	-0.00133015
867	-0.113625	-0.0755802
868	-0.113625	0.106599
869	-0.114207	0.0184865
870	-0.114207	-0.0162628
871	-0.114207	0.0806045
872	-0.114684	0.0164018
873	-0.115912	0.0314789
874	-0.115912	0.146836
875	-0.115912	-0.0780945
876	-0.116035	0.00942784
877	-0.116526	0.0168017
878	-0.116526	-0.0609377
879	-0.116526	0.0907591
880	-0.116526	0.0205037
881	-0.113214	-0.0594018
882	-0.113214	-0.0822605
883	-0.113214	-0.0782894
884	-0.113214	0.0309567
885	-0.109251	-0.072629
886	-0.109251	-0.0734805
887	-0.109251	-0.166964
888	-0.109251	0.108712
889	-0.109251	-0.0163085
890	-0.114527	0.112301
891	-0.114527	0.0335468
892	-0.113981	-0.00407932
893	-0.113981	-0.0196034
894	-0.112506	-0.0227236
895	-0.114907	0.0548518
896	-0.123164	0.172374
897	-0.120783	-0.0403234
898	-0.119513	-0.0182258
899	-0.121935	0.0557191
900	-0.122526	0.0191417
901	-0.124743	0.0517808
902	-0.125124	0.0151116
903	-0.125124	0.00746477
904	-0.125124	-0.181262
905	-0.125124	-0.03368
906	-0.125124	-0.00856059
907	-0.12224	-0.0502901
908	-0.12224	-0.0559732
909	-0.12224	-0.013831
910	-0.12224	0.0291347
911	-0.121889	0.000304332
912	-0.121889	0.042884
913	-0.121889	-0.000947884
914	-0.121889	-0.0767494
915	-0.121889	-0.0853941
916	-0.117379	-0.0830788
917	-0.117379	-0.0439082
